"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SYNE1",-1.56198080808081,6.57477078651685,-24.6009356120051,4.52954059529591e-85,6.08872987856323e-83,183.332438936533
"HGFAC",-3.03698444444444,6.76274606741573,-24.5910432243593,5.02314964753535e-85,6.62133529079076e-83,183.229289671599
"CRHBP",-2.27402878787879,5.10710561797753,-24.5908618716762,5.03268416982531e-85,6.62133529079076e-83,183.227398622608
"MCM6",2.08707181818182,6.35562921348315,24.5900027156467,5.07810053745744e-85,6.62133529079076e-83,183.218439772718
"NUP37",1.45594090909091,6.25180898876405,24.571193881919,6.18189525219069e-85,7.98076556369449e-83,183.02229852358
"CD1D",-1.77335363636364,5.23067415730337,-24.5449464540087,8.13469244868621e-85,1.03988485135705e-82,182.748547892898
"VPS72",1.23731959595959,6.27762921348315,24.4330704817361,2.62249143531235e-84,3.31987046845026e-82,181.581225067348
"UBE2C",1.77035191919192,6.24768539325843,24.4229293277602,2.91617386760709e-84,3.65615298651239e-82,181.475371912014
"GLS2",-3.42603555555556,7.45633483146067,-24.3154321817506,8.98758322397835e-84,1.1160866443567e-81,180.352921694796
"MT1H",-3.08737737373737,10.0687483146067,-24.3062908971898,9.89067982140796e-84,1.21664692633338e-81,180.257438208576
"SNRPD2",1.10672929292929,9.70916404494382,24.3029361084365,1.02444219983345e-83,1.24671298656438e-81,180.222395131927
"C7",-3.28347282828283,7.39829438202247,-24.3021758611421,1.03263289016759e-83,1.24671298656438e-81,180.214453729571
"CYP2B6",-3.59004070707071,9.32684269662921,-24.2855787813065,1.22871941379403e-83,1.46984150793214e-81,180.041074855057
"ASS1",-1.94067747474748,11.6702449438202,-24.2349407488813,2.08867374379106e-83,2.47583790411743e-81,179.511988260535
"CHST4",-1.3940705050505,4.73330561797753,-24.2029801361505,2.91968180828829e-83,3.42970550434874e-81,179.177970824729
"SQLE",2.89224363636364,6.89560674157303,24.1937765324941,3.21535981949607e-83,3.7433104184294e-81,179.081773402213
"HMMR",1.95863585858586,4.80990786516854,24.118883935194,7.05043887617277e-83,8.13545774393068e-81,178.298797164179
"CKS1B",1.58045,7.50965393258427,24.0977425655922,8.8003314819365e-83,1.00655721221904e-80,178.077711449913
"GYS2",-3.40737494949495,7.93684269662921,-23.9875507188791,2.79590067044832e-82,3.15339771358102e-80,176.924960879485
"KIF20A",1.69673202020202,4.35875730337079,23.9872280010328,2.80538488208757e-82,3.15339771358102e-80,176.92158380595
"SSR2",1.34700585858586,8.46980674157303,23.9417293011929,4.52239192413365e-82,5.03995455545117e-80,176.445404697459
"IRAK1",1.27510828282828,7.59484494382022,23.9310422488973,5.05924147365697e-82,5.59046182839095e-80,176.333539517187
"MT1HL1",-2.60842141414141,10.3702988764045,-23.9129730477348,6.11590397590949e-82,6.70128335646082e-80,176.144388226672
"SMAD6",-1.29003303030303,5.23462247191011,-23.8663633891004,9.97664946432854e-82,1.08404610304483e-79,175.65638714277
"BDH2",-2.00478383838384,8.33501797752809,-23.8555872739731,1.11719122459468e-81,1.20388895681736e-79,175.543544638235
"ACSL4",3.29853484848485,5.57893033707865,23.8411897394699,1.29953971355422e-81,1.38890969877324e-79,175.392770375443
"UCK2",1.43949313131313,4.82464269662921,23.8258646225043,1.52646683882382e-81,1.61817895214827e-79,175.232269831484
