"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","hgnc_symbol"
"8577","ENSG00000122970.15",23.872091228242,1.81392908551026,0.209314807738325,8.66603325923288,4.47436301180491e-18,7.95507641914854e-17,"ENSG00000122970","IFT81"
"8578","ENSG00000174437.16",97.311897683084,2.26189181850616,0.128265000780857,17.6345207557488,1.33826005730611e-69,2.57055782938078e-66,"ENSG00000174437","ATP2A2"
"8579","ENSG00000196510.12",24.214643289219,0.322308314237613,0.121228456121698,2.65868530004256,0.00784461993064312,0.0225596243231972,"ENSG00000196510","ANAPC7"
"8580","ENSG00000258210.1",222.619331297902,-0.56142399295527,0.148084442740454,-3.7912422302137,0.000149895669799033,0.000678517367808936,"ENSG00000258210",""
"8581","ENSG00000111229.15",564.431085970139,-0.709436643109286,0.115039058875082,-6.16691974053479,6.96330779003755e-10,6.41199326673376e-09,"ENSG00000111229","ARPC3"
"8582","ENSG00000111231.8",15.940573769492,-0.551987064332868,0.143523145106846,-3.84597943364424,0.000120071834645215,0.000553705495143065,"ENSG00000111231","GPN3"
"8583","ENSG00000204856.11",23.9319457855106,1.05286758073377,0.180059226000616,5.84734036749758,4.9949479036229e-09,4.21857959650548e-08,"ENSG00000204856","FAM216A"
"8584","ENSG00000111237.18",56.4252610537796,-0.386213551198532,0.137528399777879,-2.80824580102948,0.00498121905817378,0.0153195697508163,"ENSG00000111237","VPS29"
"8585","ENSG00000278993.1",2.39468492674741,0.913922962731343,0.347006837495958,2.63373185763808,0.00844521533936213,0.0240437182173465,"ENSG00000278993",""
"8586","ENSG00000151164.18",6.26173689021632,1.19328130862715,0.255343595885925,4.6732376603651,2.96488345809071e-06,1.80426715987859e-05,"ENSG00000151164","RAD9B"
"8587","ENSG00000196850.5",22.7347674334734,-0.600472403217601,0.150952865100162,-3.97788013377003,6.95324064031574e-05,0.000335870567166983,"ENSG00000196850","PPTC7"
"8588","ENSG00000186298.11",74.4165911847706,-1.22081136554883,0.105347875092929,-11.5883814882069,4.71966594212398e-31,1.9851942030136e-29,"ENSG00000186298","PPP1CC"
"8589","ENSG00000111249.13",44.3838151449269,1.39781325237464,0.377295991447504,3.70481872073939,0.000211541966342313,0.000927968055099371,"ENSG00000111249","CUX2"
"8590","ENSG00000111252.10",165.246831352221,0.752735585572882,0.0996935546855535,7.55049399078113,4.3361040718678e-14,5.73376175411072e-13,"ENSG00000111252","SH2B3"
"8591","ENSG00000204842.14",291.256487282828,1.69650560693186,0.1379741565435,12.2958215468199,9.53820489345738e-35,5.00201210110381e-33,"ENSG00000204842","ATXN2"
"8592","ENSG00000111271.14",20.647664382947,1.20790746424514,0.286601588278444,4.21458747490127,2.50235152488084e-05,0.00013156793833538,"ENSG00000111271","ACAD10"
"8593","ENSG00000257767.2",19.7480858172603,-0.677752403277416,0.184949257360435,-3.66453162856767,0.000247791618915369,0.00107044080585088,"ENSG00000257767",""
"8594","ENSG00000111275.12",51.812248010336,-0.556198688112213,0.164455561226517,-3.3820606853551,0.000719442494276289,0.0027893944830141,"ENSG00000111275","ALDH2"
"8595","ENSG00000234608.7",9.98718542926178,-0.882293313162284,0.20694912339994,-4.26333438222499,2.01398787304005e-05,0.000107619494163633,"ENSG00000234608","MAPKAPK5-AS1"
"8596","ENSG00000198270.12",11.6279518628571,1.02280841869507,0.234300557556248,4.36536911974494,1.26908270921539e-05,7.01417036588405e-05,"ENSG00000198270","TMEM116"
"8597","ENSG00000089248.6",160.855170796085,-0.70227933533393,0.103186029065443,-6.80595369057693,1.00382001337438e-11,1.09323998773454e-10,"ENSG00000089248","ERP29"
"8598","ENSG00000111300.9",36.1861464040978,1.02358492855716,0.130468348816564,7.84546549290891,4.31350446113217e-15,6.14786797730281e-14,"ENSG00000111300","NAA25"
"8599","ENSG00000135148.11",66.1453620244569,0.261634651801389,0.107492500874828,2.43398050721748,0.0149337992932123,0.0390191769109423,"ENSG00000135148","TRAFD1"
"8600","ENSG00000173064.12",164.903218409944,0.976679428040894,0.120582398993133,8.09968483125401,5.51017509659137e-16,8.44629936445029e-15,"ENSG00000173064","HECTD4"
"8601","ENSG00000089009.15",934.068679849873,-1.75623827908837,0.120515321914897,-14.5727385628905,4.18761452374984e-48,6.11421847190668e-46,"ENSG00000089009","RPL6"
"8602","ENSG00000179295.17",173.659576918788,-0.362457836680539,0.105862100134884,-3.4238678074468,0.000617366443410441,0.00242654245550787,"ENSG00000179295","PTPN11"
"8603","ENSG00000089127.12",52.6967684526224,-0.680315430320411,0.169953170563028,-4.00295815645352,6.25553693239955e-05,0.000305219670736985,"ENSG00000089127","OAS1"
"8604","ENSG00000111331.12",56.340718046699,-0.934418754122937,0.19786139843415,-4.72259248907472,2.3285713586467e-06,1.43904859085673e-05,"ENSG00000111331","OAS3"
"8605","ENSG00000111335.12",62.4926760521156,-0.901590637021057,0.172892936193357,-5.21473379347755,1.84081400020267e-07,1.30878683251404e-06,"ENSG00000111335","OAS2"
"8606","ENSG00000135144.7",26.1173444731107,-1.19733516046509,0.233630592259379,-5.12490743992892,2.97683950206308e-07,2.06511562790532e-06,"ENSG00000135144","DTX1"
"8607","ENSG00000123064.12",78.1410728401634,-0.703960309852859,0.146529486287888,-4.80422287477197,1.55353705708144e-06,9.83898722841873e-06,"ENSG00000123064","DDX54"
"8608","ENSG00000139405.15",8.37365261196258,-0.824850096385825,0.20227478820133,-4.07786904003492,4.54503534846944e-05,0.000227560114462039,"ENSG00000139405","RITA1"
"8609","ENSG00000186815.12",42.014799723247,1.46694334520188,0.262021850348884,5.59855349181237,2.1614771077398e-08,1.70391058075662e-07,"ENSG00000186815","TPCN1"
"8610","ENSG00000089060.11",21.2312797161492,0.797016975545571,0.263554787573764,3.02410357589311,0.00249371047744917,0.0084034627048287,"ENSG00000089060","SLC8B1"
"8611","ENSG00000151176.7",23.2201886655589,0.538634858819706,0.227075516369986,2.37205167439575,0.017689616513052,0.0450267894509886,"ENSG00000151176","PLBD2"
"8612","ENSG00000249550.6",3.08955696592128,2.18295096773152,0.598466203570718,3.64757601132203,0.000264726009022983,0.00113742232520831,"ENSG00000249550","LINC01234"
"8613","ENSG00000255399.3",6.40183256752011,1.46126889004011,0.571219886596584,2.55815479175029,0.0105229240226627,0.0290087942189541,"ENSG00000255399","TBX5-AS1"
"8614","ENSG00000257517.1",0.774560181492553,2.31230134768698,0.851312404091108,2.71616076140189,0.00660438401018775,0.0194607584009816,"ENSG00000257517",""
"8615","ENSG00000283459.1",1.55548387325595,1.83547447626652,0.5711089064618,3.21387822094714,0.00130955201158772,0.00475699983446801,"ENSG00000283459",""
"8616","ENSG00000257958.1",1.36345276716947,1.57199533589477,0.631581874755436,2.48898107866615,0.0128109783619024,0.0343411452256842,"ENSG00000257958",""
